,word,category,lexical_class,period0,period1,period2,period3,period4
42,hurry,action_words,verbs,0.15411025513377455,0.17529061841778457,0.23623167951073912,0.17468223458108229,0.1506089625450281
43,jump,action_words,verbs,0.16730604572769472,0.17751038117477527,0.19523356014337295,0.17435609409585595,0.16232733478820002
44,kick,action_words,verbs,0.13490654011922223,0.16187015226161158,0.1470381542536858,0.1658058460605772,0.13820055057294667
45,kiss,action_words,verbs,0.22454920169469472,0.22490438385992437,0.21505646665713618,0.23420651141252066,0.22604370524028414
46,knock,action_words,verbs,0.18964565342122858,0.18885401582631928,0.17784155140581884,0.1588427350157872,0.17838736361748464
47,lick,action_words,verbs,0.25194621146530716,0.2721630580521919,0.2569940747497113,0.2559637154142062,0.2573675089981407
48,like,action_words,verbs,0.32101375831140055,0.2962635437379012,0.2846001760178321,0.29297290259116404,0.25859176857691063
49,listen,action_words,verbs,0.24790459850004742,0.20486726469825953,0.210278001778266,0.2036994319409132,0.23641095692530656
50,look,action_words,verbs,0.19904534174411587,0.2006077355629689,0.1872348264391933,0.21119378765838015,0.1798342815874254
51,love,action_words,verbs,0.20933909916451998,0.20699137895319022,0.24562908737705305,0.2583497042457263,0.20745261990138003
52,make,action_words,verbs,0.19416887796408422,0.22604703927706732,0.18848061189055443,0.19537484801063934,0.25719954828290564
53,open,action_words,verbs,0.13953291134614693,0.15710531412623824,0.15278566246097153,0.15221195506226076,0.15799064432772306
54,paint,action_words,verbs,0.1282048273227505,0.1829289016313851,0.18756240356321396,0.17980375548359007,0.19147212579846382
55,pick,action_words,verbs,0.16145172950468564,0.2055958840996027,0.18271798554908586,0.1884045495186001,0.1886185086458116
56,play,action_words,verbs,0.1856246213051113,0.19591252429363054,0.1866085677383802,0.1671366817317903,0.1903685945319012
57,pour,action_words,verbs,0.1810663565993309,0.18810051756027418,0.16676625725183938,0.1731197674293071,0.20188098242506386
58,pretend,action_words,verbs,0.15204131393693388,0.16318270167670187,0.19651057198643684,0.16826467598095918,0.1800072516243045
59,pull,action_words,verbs,0.2162855886018429,0.25771411461755633,0.2591670613131813,0.25769952638074756,0.18424233091063796
60,push,action_words,verbs,0.20847533128567433,0.21459127184934915,0.18891457987851218,0.20894704353995622,0.18064309037290513
61,put,action_words,verbs,0.21770952384059244,0.2490947001064435,0.23717844647330208,0.21961981067433953,0.18463514319155366
62,read,action_words,verbs,0.1698247923662788,0.18957036461394566,0.19099387674568555,0.1831601545913145,0.20048782921945438
63,ride,action_words,verbs,0.22801447038849196,0.2373418561541117,0.26451973812654617,0.20730048073455692,0.18387556673051456
64,rip,action_words,verbs,0.16533428950137213,0.23164401901885867,0.2594907743965878,0.18993897993977255,0.2392726962454617
65,run,action_words,verbs,0.15468764582123512,0.14486857652664184,0.16385770649649203,0.16466528070159256,0.13249071310154903
66,say,action_words,verbs,0.15979480787235148,0.18265430352373704,0.24433720776358167,0.2270294317147798,0.19029514133734138
67,see,action_words,verbs,0.2905406401389175,0.2947952139534448,0.2943650707602501,0.33900831326058034,0.277455346706586
68,shake,action_words,verbs,0.15240072743857608,0.11376454208332759,0.15726857735599215,0.1959393707251078,0.12624754183925688
69,share,action_words,verbs,0.09707360776762168,0.09186664543663844,0.1068992215032513,0.09064567940967048,0.08857845515012741
70,show,action_words,verbs,0.16976967304944993,0.13720452412962914,0.14461677702830025,0.1651609560044912,0.15427085693533482
71,sing,action_words,verbs,0.23630382397345134,0.22553792176768184,0.2344355665975147,0.2128882140852511,0.22145825307816266
