"","word","category","lexical_class"
"280","rocking chair","furniture_rooms","nouns"
"281","refrigerator","furniture_rooms","nouns"
"282","room","furniture_rooms","nouns"
"283","shower","furniture_rooms","nouns"
"284","sink","furniture_rooms","nouns"
"285","sofa","furniture_rooms","nouns"
"286","stairs","furniture_rooms","nouns"
"287","stove","furniture_rooms","nouns"
"288","table","furniture_rooms","nouns"
"289","TV","furniture_rooms","nouns"
"290","window","furniture_rooms","nouns"
"291","washing machine","furniture_rooms","nouns"
"292","backyard","outside","nouns"
"293","cloud","outside","nouns"
"294","flag","outside","nouns"
"295","flower","outside","nouns"
"296","garden","outside","nouns"
"297","grass","outside","nouns"
"298","hose","outside","nouns"
"299","ladder","outside","nouns"
"300","lawn mower","outside","nouns"
"301","moon","outside","nouns"
"302","pool","outside","nouns"
"303","rain","outside","nouns"
"304","rock","outside","nouns"
"305","roof","outside","nouns"
"306","sandbox","outside","nouns"
"307","shovel","outside","nouns"
"308","sidewalk","outside","nouns"
"309","sky","outside","nouns"
"310","slide","outside","nouns"
"311","snow","outside","nouns"
"312","snowman","outside","nouns"
"313","sprinkler","outside","nouns"
"314","star","outside","nouns"
"315","stick","outside","nouns"
"316","stone","outside","nouns"
"317","street","outside","nouns"
"318","sun","outside","nouns"
"319","swing","outside","nouns"
"320","tree","outside","nouns"
"321","wind","outside","nouns"
"322","beach","places","other"
"323","camping","places","other"
"324","church","places","other"
"325","circus","places","other"
"326","country","places","other"
"327","downtown","places","other"
"328","farm","places","other"
"329","gas station","places","other"
"330","home","places","other"
"331","house","places","other"
"332","movie","places","other"
"333","outside","places","other"
"334","park","places","other"
"335","party","places","other"
"336","picnic","places","other"
"337","playground","places","other"
"338","school","places","other"
"339","store","places","other"
"340","woods","places","other"
"341","work","places","other"
"342","yard","places","other"
"343","zoo","places","other"
"344","aunt","people","other"
"345","baby","people","other"
"346","babysitter","people","other"
"347","boy","people","other"
"348","brother","people","other"
"349","child","people","other"
"350","clown","people","other"
