,word,category,lexical_class,polysemy
543,stuck,descriptive_words,adjectives,18
544,thirsty,descriptive_words,adjectives,4
545,tiny,descriptive_words,adjectives,1
546,tired,descriptive_words,adjectives,6
547,wet,descriptive_words,adjectives,9
548,white,descriptive_words,adjectives,25
549,windy,descriptive_words,adjectives,4
550,yellow,descriptive_words,adjectives,8
551,yucky,descriptive_words,adjectives,1
552,after,time_words,other,3
553,before,time_words,other,2
554,day,time_words,other,10
555,later,time_words,other,12
556,morning,time_words,other,4
557,night,time_words,other,8
558,now,time_words,other,8
559,time,time_words,other,15
560,today,time_words,other,4
561,tomorrow,time_words,other,3
562,tonight,time_words,other,2
563,yesterday,time_words,other,4
564,he,pronouns,function_words,2
565,her,pronouns,function_words,0
566,hers,pronouns,function_words,0
567,him,pronouns,function_words,0
568,his,pronouns,function_words,0
569,i,pronouns,function_words,4
570,it,pronouns,function_words,1
571,me,pronouns,function_words,1
572,mine,pronouns,function_words,4
573,my,pronouns,function_words,0
574,myself,pronouns,function_words,0
575,our,pronouns,function_words,0
576,she,pronouns,function_words,0
577,that,pronouns,function_words,0
578,their,pronouns,function_words,0
579,them,pronouns,function_words,0
580,these,pronouns,function_words,0
581,they,pronouns,function_words,0
582,this,pronouns,function_words,0
583,those,pronouns,function_words,0
584,us,pronouns,function_words,4
585,we,pronouns,function_words,0
586,you,pronouns,function_words,0
587,your,pronouns,function_words,0
588,yourself,pronouns,function_words,0
589,how,question_words,function_words,0
590,what,question_words,function_words,0
591,when,question_words,function_words,0
592,where,question_words,function_words,0
593,which,question_words,function_words,0
594,who,question_words,function_words,1
595,why,question_words,function_words,1
596,about,locations,function_words,8
597,above,locations,function_words,4
598,around,locations,function_words,10
599,at,locations,function_words,2
600,away,locations,function_words,14
601,back,locations,function_words,28
602,behind,locations,function_words,7
603,beside,locations,function_words,0
604,by,locations,function_words,2
605,down,locations,function_words,26
606,for,locations,function_words,0
607,here,locations,function_words,7
608,inside,locations,function_words,10
609,into,locations,function_words,0
610,next_to,locations,function_words,0
611,of,locations,function_words,0
612,off,locations,function_words,9
613,on,locations,function_words,5
