,word,category,lexical_class,period0,period1,period2,period3,period4,period5,period6,period7,period8,period9,period10
484,on,locations,nouns,0.16587397856637837,0.24297144160502487,0.30333323619867625,0.2648137333906359,0.25776752633483785,0.25650673712554733,0.25189276862268645,0.23741564487940386,0.2413475066423416,0.2548846145601649,0.1886902127195807
485,on_top_of,locations,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,out,locations,nouns,0.19338817559182644,0.3120836867019534,0.32490877869228524,0.3122524751557244,0.2842752978597817,0.2558816314527863,0.27446673810482025,0.3017805285359684,0.285379476406995,0.2852765909499592,0.2565678718842958
487,over,locations,nouns,0.1455518167000264,0.17690600744552082,0.22932493252058825,0.19109429470780823,0.20944414876009287,0.19303816929459572,0.21146226829538742,0.22468751306749052,0.24505997311912084,0.2087114838262399,0.15496707021405823
488,there,locations,nouns,0.16746607408858835,0.22128162025991413,0.17826207021349355,0.18524863590535365,0.2799319442775514,0.1889909105865579,0.2504067503307995,0.1641308699734509,0.1703030528035015,0.2662208860642032,0.2198585407808423
489,to,locations,nouns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,under,locations,nouns,0.06354319676756859,0.14238612415889898,0.14679317509657458,0.1257779770013359,0.15568657013538637,0.11097628278109957,0.10450550013532241,0.11157471303115873,0.10756687466055155,0.0710316247617205,0.07795464843511582
491,up,locations,nouns,0.14418817938942657,0.18566900995724342,0.26112614944577217,0.29737870003047745,0.23270703218877314,0.2155481018126011,0.22664383687078954,0.25402993395140294,0.2840637807783328,0.2162496417760849,0.22439838703721762
492,with,locations,nouns,0.08022742012613698,0.0957226675003767,0.12125931596383452,0.1200904038734734,0.07937653241679073,0.11272943504154682,0.08835521973669529,0.0925110506825149,0.13363087187080006,0.10247057235162509,0.0946569623131501
493,one,number,nouns,0.3792351607233286,0.3014461253769696,0.4034963814541698,0.4220327403396368,0.334031343087554,0.3782145772129297,0.22541657323017716,0.31940853111445905,0.30631401352584364,0.15527584105730058,0.21546617560088635
494,two,number,nouns,0.5214228969067335,0.4677084872499108,0.49892579996958375,0.5161801923066378,0.504033163189888,0.5373338904231787,0.5147839104756713,0.5170765849761665,0.4911743515171111,0.4626653527840972,0.4371670613065362
495,three,number,nouns,0.5764572709798813,0.5416749812662601,0.5461710860021413,0.5870766256935894,0.6037538566626608,0.6145943216979504,0.5631154884584249,0.5326508694328368,0.5388040923513472,0.5497772831469774,0.6519411630928517
496,four,number,nouns,0.5869355108588934,0.5538224313408137,0.5577754651661962,0.6024797476362437,0.6088812326546759,0.6142638707533479,0.6129924771841615,0.5703093455638737,0.5578113626223058,0.5812522489577532,0.614674198627472
497,five,number,nouns,0.5989019501954317,0.5478145989589394,0.5713474012911319,0.6205284975469112,0.5855150097981096,0.6387981632724404,0.5729379214346408,0.5609042685478925,0.5268236804753542,0.5618960242718458,0.6560891907662153
498,six,number,nouns,0.5546072140336037,0.5741600904613733,0.5676708750426769,0.6080872114747763,0.5832540597766638,0.6154629599303008,0.6057302251458168,0.5584100156091154,0.5248673904687167,0.5395493879914284,0.6414697468280792
499,seven,number,nouns,0.5386968560516834,0.524235500767827,0.5641838734038174,0.5976117060519754,0.5953745202161371,0.6061997741460801,0.5984187060035765,0.5559301357716322,0.5100952920503914,0.5162386719137431,0.5781058236956597
500,eight,number,nouns,0.557773806899786,0.5604051943868399,0.5748693744651974,0.5847152531147003,0.6082218140363693,0.6170580331236124,0.5674493849277497,0.5593244249001146,0.5494191400706768,0.5364599712193012,0.5720113078132272
501,nine,number,nouns,0.5600783606991172,0.549005581624806,0.5450833060778677,0.5564094985835254,0.5658109330572187,0.599659101292491,0.5138617529533803,0.5521552698686719,0.5262993256561458,0.5422251053154469,0.5837514042854309
