,local,global
school,0.002422394497053964,0.2973266239193607
way,0.0018543079495429993,0.365791119505246
from,0.0018514721624312861,0.24678167001197415
mean,0.0008433941871889176,0.2705954049257462
call,0.001923014988770356,0.3755018643360153
wanna,0.0013247572240375337,0.18094446998687652
today,0.0007918814818064372,0.17784779745635781
try,0.0009335858481270927,0.1718761712887863
use,0.001507627613404218,0.2674189024444933
any,0.0008873719918100457,0.16680599786836636
minute,0.0008604411155946793,0.10631856403457751
maybe,0.0008866902854707506,0.18504927396235338
turn,0.0009947942524421505,0.20174623703603745
day,0.0008304530176623114,0.16460686748088127
remember,0.0019357482592264811,0.161715378048223
kind,0.0014750009927994166,0.3151142997852444
person,0.0014268387766445383,0.2600797798229736
as,0.001411736011505127,0.23215024510868076
should,0.0011723683430598332,0.22294764313159687
house,0.0021814897656440733,0.2860123156572535
name,0.0018804803971321352,0.21012008935403437
wait,0.0006320187539765329,0.17801523863358304
another,0.0007016078421944066,0.08393018890149773
boy,0.002165625224242339,0.35617198045439424
baby,0.0027188611657995927,0.2683813878285949
find,0.0025299772238120055,0.336768857258983
hand,0.0012854763439723424,0.18278124259733297
work,0.00043508410453796387,0.12927230419817726
first,0.0018485546112060546,0.37977737484272
leave,0.0005503007343837193,0.08892218873033042
again,0.0012700973555099132,0.21534377454844644
sure,0.0005360926900591169,0.12453665953940363
book,0.0014590062201023102,0.127791131577201
much,0.0008318955833847458,0.22864172410096317
three,0.0016630440950393677,0.14271669965131095
car,0.0012475505019679215,0.21730479322367413
watch,0.004304145321701512,0.5334083163103476
fun,0.0006560730306725753,0.17989240761860115
through,0.005027125048082929,0.5009470319439118
home,0.0022054165601730347,0.38337456972737016
into,0.001445174217224121,0.2570886371557244
still,0.00198921419325329,0.33181638743017117
finish,0.0014735285828753216,0.21508336542150208
away,0.00235288571088742,0.4296154466746974
man,0.002741444993902136,0.3325543762873825
dog,0.001123798199189015,0.17225624658592908
water,0.0020242505951931604,0.2558144509648379
around,0.0018640264868736267,0.2712096165486433
anything,0.0013588939394269671,0.20090439052789466
stop,0.002942907810211182,0.4509073232362606
start,0.0014025986194610596,0.2744708229002196
five,0.0015084072947502136,0.1150894041853735
show,0.001410271182204738,0.18144079673459168
before,0.0011845650998028841,0.2827707760500596
by,0.0026753560492866917,0.39089618534544035
love,0.0019840826006496653,0.2653239629942221
mom,0.0036455669054170936,0.40939076609278735
