,local,global
him,0.0007742643356323242,0.1710608045897971
over,0.0011249466074837579,0.1888005381935829
why,0.0015730493598514134,0.24979696736953028
more,0.0016975224018096924,0.20903118415737398
or,0.0010344187418619792,0.19994280535880316
too,0.0006437096744775772,0.22802738515900256
two,0.0010960731241438123,0.16341890937457493
hm,0.001655205299979762,0.38692134342363416
nice,0.002023776372273763,0.2790795260504665
off,0.0017555575621755499,0.22614078025231965
sit,0.00096609251839774,0.16188386377132102
these,0.001271518377157358,0.1988902517784411
huh,0.0009697917345407847,0.2662975413281452
those,0.0013542410574461285,0.2569311065338604
need,0.0008250128838323778,0.21314525297224918
thing,0.001120816171169281,0.22519398439878602
gonna,0.0006893496764333625,0.17009044631649362
real,0.0009277943107816908,0.2178899829831955
give,0.0013244368813254616,0.1665183829206146
book,0.0011492693746412122,0.15125095497837804
have_to,0.0003464204423567828,0.26127098342732025
else,0.0016392202753769724,0.27561299571753395
car,0.000725647434592247,0.18431497423849674
alright,0.001508937432215764,0.3956303254606117
shall,0.0007305688717786004,0.16101277250445822
boy,0.0013303861898534438,0.21328322568438796
could,0.001486475403244431,0.29253671984132046
other,0.0011535834621738744,0.29886707194630835
bit,0.0014043764064186498,0.16085097009974558
time,0.0013467272122701008,0.2446395350230901
find,0.0009434734072004046,0.23087341808468953
color,0.00148619623745189,0.2023766242685826
way,0.0015753717035860628,0.22303676612726198
something,0.0005986672459226666,0.207999409001004
again,0.0013340872687262458,0.24995743448317553
another,0.0005276763077938195,0.21692215345706833
happen,0.002000516653060913,0.17862318545256928
should,0.0010841041803359985,0.27019079225334663
call,0.0016383856534957885,0.2476680203671836
please,0.0021142174557941718,0.2880828972700348
house,0.0018172482164894662,0.2653887099474961
turn,0.001535701124291671,0.1994212799330094
remember,0.0015598310006631386,0.23559087957701752
try,0.0015796277581191643,0.2667990029984344
girl,0.0016482227887862767,0.21548103245762462
from,0.0014089785871051607,0.2225254290127252
as,0.0014083459973335266,0.34913828155821147
fall,0.0008203789994523331,0.1458291915446861
ah,0.0015366313069365746,0.39462677018206127
read,0.0015708574881920447,0.20836857393965835
help,0.002033725017454566,0.3412267978428163
today,0.0020874550468043276,0.23133050243020004
dog,0.0015874787380820827,0.25853873402512584
any,0.0008293828543494729,0.19814114549401696
away,0.001314648985862732,0.2849200729030893
hand,0.0008246031674471768,0.18896650359862865
uhhuh,0.0015040354596243964,0.4096389022940963
use,0.0010964348912239075,0.2434438150338103
watch,0.0012089267373085022,0.3229310323716895
love,0.001756160096688704,0.3224056164949496
talk,0.001132541232638889,0.30029842978028154
three,0.0009304483731587728,0.2356730778803996
open,0.001424272855122884,0.20297891621151842
ball,0.002200491917438996,0.22868943035104095
train,0.0007384717464447021,0.2135666565741967
red,0.0019060553926410098,0.24588102726288974
fun,0.0013620602457146895,0.2985135422901153
show,0.0015342041850090026,0.22377952270874835
maybe,0.00102081971290784,0.2475677423854331
wanna,0.0006495993584394455,0.23819964846743547
work,0.001206589596612113,0.2863144070034134
wait,0.0010508961147732204,0.19770200698086104
box,0.0006730038868753534,0.21720892306060846
which,0.0018849025170008342,0.2965942769028057
name,0.0017364137881510967,0.21640037707291926
thank,0.0012877776816084578,0.233615400810393
blue,0.0012766681611537933,0.15287801291748038
picture,0.0018545251626234788,0.2628811633135848
mm,0.0014580907048405828,0.27370728026707847
hold,0.0009449200752453926,0.22502051695192327
hey,0.0013949929214105373,0.3413547718340495
first,0.001353546100504258,0.22086926678375185
bed,0.0011484391159481471,0.1705506071521602
day,0.0012672637638292815,0.2843558284711277
man,0.001130350125141633,0.31392280233731884
water,0.0007756126893533243,0.17461151838208122
green,0.002533838152885437,0.20350162609103606
mommy,0.0013590012277875628,0.2487683496049653
wow,0.0009680059221055773,0.270541618593245
sleep,0.0008938785861520207,0.1720099428009968
sure,0.0011520981788635254,0.3658958355805585
mean,0.0011109129802600757,0.2576380218060613
hear,0.0017697762798618627,0.22882114554992017
minute,0.0009409619702233209,0.20343469878692788
home,0.001034141911400689,0.21536554973655797
toy,0.0018897576209826346,0.2077700763924304
kind,0.002238077552695023,0.22075898344200307
piece,0.00112992525100708,0.20129225659580352
chair,0.001083677155630929,0.17814314901789208
person,0.0017682619583912385,0.25881291899621806
hello,0.001256252036375158,0.20961669513507064
drink,0.0008462775837291371,0.16710227194551341
school,0.0007142514893502901,0.2969838541936477
stick,0.0016669645542051735,0.2895467733660909
darling,0.0015919835943924753,0.30550998843235067
finish,0.0011677084824977778,0.26304394691086397
leave,0.001548469066619873,0.29499774977574633
throw,0.0016451050073672563,0.20847236143330117
bring,0.0006725026501549615,0.23518970739550538
horse,0.0008691847324371338,0.21857217478903546
into,0.0010251051340347682,0.2051477157050825
cat,0.0013576763016836984,0.2255325337925458
might,0.000705270390761526,0.33192078825204574
much,0.0021616220474243164,0.14829090900672803
head,0.0011348995295437899,0.2621414586451022
ready,0.0017783106901706792,0.3948142214419683
daddy,0.0010742366313934327,0.23303212358415537
door,0.00127601798842935,0.1897943678841124
round,0.0019370390147697635,0.3124477492582579
still,0.0018412583583110088,0.31137435762005405
thank_you,0.0012277109282357352,0.14750666448573402
us,0.0015678069530389248,0.3713829456734695
push,0.001585778352376577,0.17182489026813752
dear,0.0012149052186445756,0.2959701397541177
pretty,0.0013321026375419215,0.2745367277845375
around,0.001525814595975374,0.20132081306247185
keep,0.0015598982572555542,0.34659811242990146
break,0.0018802494616121858,0.29480717619616936
story,0.0011058868588627996,0.22808561061175148
table,0.0010475502127692813,0.2710352363484201
